submission_id,submission_date,gender,age,geography,financial_situation,education,employment_status,submission_state,are_there_children_0_to_2_yrs_out_of_educational_system,were_children_3_to_17_yrs_enrolled_and_did_not_return_to_school,are_there_children_who_stopped_enrolling_in_primary_education,are_there_children_who_stopped_enrolling_in_secondary_education,are_children_attending_face_to_face_classes,can_children_observe_deterioration_of_basic_services_of_school,do_children_3_and_17_yrs_receive_regular_school_meals,are_there_teachers_at_scheduled_class_hours,are_children_3_to_17_yrs_dealing_with_irregular_school_activity,are_children_being_teached_by_unqualified_people,did_teachers_leave_the_educational_system,do_school_and_the_teachers_have_internet_connection,do_children_have_internet_connection,do_children_3_to_17_yrs_miss_virtual_class_due_to_lack_of_electricity,does_home_shows_severe_deficit_of_electricity,does_home_shows_severe_deficit_of_internet,do_children_3_to_17_yrs_miss_class_or_in_lower_grade,are_children_promoted_with_a_modality_different_from_formal_evaluation
5.82E+15,2021/3/13,1,1,2,5,Technical school diploma or degree completed,I am unemployed,2.17,0,0,0,0,0,1,5,Irregularly,0,0,0,0,1,1,0,1,0,0
6.33E+15,2021/4/2,1,0,1,0,Secondary school/ high school completed,I am a student and I work part-time,4.78,0,1,1,1,0,1,4,Irregularly,1,1,1,0,0,1,0,1,1,1
5.72E+15,2021/3/18,0,0,0,5,Some university or college,I am a student,2.17,0,1,0,0,0,1,5,Irregularly,1,1,0,0,0,1,0,1,0,0
6.71E+15,2021/3/13,1,3,1,2,Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",1.96,1,0,0,0,0,1,5,Irregularly,1,1,1,0,0,1,0,1,0,0
5.61E+15,2021/3/13,1,2,0,2,Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",1.96,0,1,0,0,0,1,5,Irregularly,1,0,1,0,1,0,0,0,0,1
4.57E+15,2021/4/8,0,2,2,2,Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",1.96,0,1,0,0,1,1,5,Irregularly,0,0,1,0,0,0,0,1,0,0
5.34E+15,2021/3/16,0,0,2,5,Secondary school/ high school completed,"I do housework, fulfilling domestic tasks, looking after children",1.96,1,0,0,0,0,1,5,Irregularly,1,0,0,0,0,1,0,1,0,0
4.63E+15,2021/3/16,0,2,0,1,University or college degree completed,"I work part-time, either as an employee or self-employed",1.96,1,1,0,0,0,1,5,Irregularly,0,0,1,0,0,0,0,0,0,0
4.97E+15,2021/3/13,0,3,2,1,Primary school completed,"I do housework, fulfilling domestic tasks, looking after children",1.96,1,1,0,0,0,1,5,Irregularly,1,0,1,1,1,1,1,0,0,0
5.67E+15,2021/3/13,0,1,0,0,Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",1.96,0,1,1,1,0,0,5,Irregularly,1,1,1,1,1,1,0,1,1,1
5.17E+15,2021/3/29,1,0,2,5,Secondary school/ high school completed,I am a student,1.96,0,1,0,1,0,1,5,Irregularly,1,1,0,0,0,0,0,0,0,0
4.98E+15,2021/3/17,1,2,0,1,University or college degree completed,"I work full-time, either as an employee or self-employed",1.96,0,1,1,0,0,1,5,Irregularly,1,0,1,0,1,1,1,1,1,1
5.51E+15,2021/3/14,0,2,0,1,Post-graduate education,"I work part-time, either as an employee or self-employed",1.96,0,1,1,0,0,1,5,Irregularly,1,1,1,0,1,1,0,1,0,1
4.67E+15,2021/3/15,0,0,0,0,Some technical education (e.g polytechnic school),"I do housework, fulfilling domestic tasks, looking after children",1.96,0,1,0,0,1,1,5,Irregularly,1,0,1,1,1,0,0,0,0,0
5.56E+15,2021/3/13,1,1,0,0,Secondary school/ high school completed,"I work full-time, either as an employee or self-employed",1.96,0,1,0,0,0,1,5,Irregularly,1,0,1,0,0,1,0,1,0,1
6.48E+15,2021/3/19,0,3,0,5,Some secondary school / high school,"I do housework, fulfilling domestic tasks, looking after children",1.96,0,0,0,0,0,1,5,Irregularly,1,0,0,1,0,0,0,1,0,0
5.58E+15,2021/3/17,0,1,1,4,Post-graduate education,"I work part-time, either as an employee or self-employed",1.96,0,1,0,1,0,1,5,Irregularly,1,1,1,1,1,0,1,1,0,0
5.17E+15,2021/3/19,1,1,1,5,University or college degree completed,I am a student and I work part-time,1.96,1,0,0,0,1,0,0,Irregularly,0,1,0,1,1,1,0,0,0,1
6.25E+15,2021/3/25,1,0,1,0,Some university or college,I am a student,1.96,1,1,1,1,0,1,5,Irregularly,1,1,0,0,1,1,0,1,0,1
5.25E+15,2021/3/14,1,3,0,1,Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",1.96,0,1,0,0,0,1,5,Irregularly,1,1,1,1,1,0,0,0,0,1
6.34E+15,2021/3/14,0,0,1,5,Secondary school/ high school completed,I am a student,1.96,1,1,0,0,0,0,5,Irregularly,1,0,1,1,1,0,0,1,0,0
4.87E+15,2021/3/14,1,2,0,1,Secondary school/ high school completed,"I work full-time, either as an employee or self-employed",1.96,1,1,0,0,1,1,5,Irregularly,1,1,1,1,1,1,1,1,0,1
4.69E+15,2021/3/19,0,1,2,1,Technical school diploma or degree completed,I am unemployed,1.96,0,1,0,1,0,1,1,Irregularly,1,1,0,0,0,0,1,0,0,1
5.42E+15,2021/3/15,1,1,2,0,Some technical education (e.g polytechnic school),I am a student,1.96,0,0,0,0,0,1,3,Irregularly,0,0,1,0,1,1,0,0,1,1
5.26E+15,2021/3/29,1,1,2,0,Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",1.96,0,0,0,0,0,1,5,Irregularly,0,1,0,0,0,1,0,1,0,0
5.18E+15,2021/3/14,1,0,0,5,Secondary school/ high school completed,I am a student,1.96,0,1,0,0,1,1,5,Irregularly,1,0,1,1,0,1,0,0,0,1
6.00E+15,2021/3/18,0,3,2,0,University or college degree completed,"I work part-time, either as an employee or self-employed",1.96,0,1,0,1,0,0,5,Irregularly,1,0,1,1,1,1,0,0,0,0
6.68E+15,2021/3/17,1,0,0,0,Secondary school/ high school completed,I am a student,1.96,0,0,0,1,0,0,5,Irregularly,1,0,1,0,1,1,0,1,0,0
6.63E+15,2021/3/14,1,1,1,0,Secondary school/ high school completed,"I work full-time, either as an employee or self-employed",1.96,0,0,0,0,0,0,5,Irregularly,0,1,1,0,1,0,1,1,0,0
4.79E+15,2021/3/13,1,0,2,2,Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",1.96,1,1,0,0,0,1,5,Irregularly,1,0,1,1,1,0,0,0,0,0
6.40E+15,2021/3/13,1,1,1,5,University or college degree completed,"I work part-time, either as an employee or self-employed",1.96,0,0,0,0,0,0,5,Irregularly,0,0,1,1,1,0,0,0,0,0
5.31E+15,2021/3/23,0,3,0,1,Secondary school/ high school completed,"I do housework, fulfilling domestic tasks, looking after children",1.96,1,1,1,0,0,1,5,Irregularly,1,0,1,1,1,1,0,0,1,0
4.84E+15,2021/3/13,0,3,0,1,University or college degree completed,"I work full-time, either as an employee or self-employed",1.96,0,1,0,0,1,1,3,Irregularly,1,0,1,1,1,0,0,0,0,0
6.51E+15,2021/3/20,0,1,0,1,University or college degree completed,"I work full-time, either as an employee or self-employed",1.96,0,1,0,0,1,1,5,Irregularly,1,0,0,1,0,0,0,0,0,0
4.63E+15,2021/3/13,0,2,0,1,University or college degree completed,I am unemployed,1.96,0,1,0,0,0,0,5,Irregularly,0,0,0,1,1,0,0,0,0,0
4.62E+15,2021/5/3,0,3,2,1,Some university or college,I am retired,1.96,0,1,0,0,0,1,5,Irregularly,1,0,1,1,1,1,0,1,0,0
4.91E+15,2021/3/14,1,3,2,5,Some secondary school / high school,"I work part-time, either as an employee or self-employed",1.96,0,1,1,1,0,1,5,Irregularly,1,0,1,0,0,0,1,0,0,1
5.47E+15,2021/9/27,0,1,0,1,University or college degree completed,"I work full-time, either as an employee or self-employed",1.96,1,1,0,0,0,1,5,Irregularly,1,0,0,1,1,1,0,1,1,0
5.40E+15,2021/3/26,0,2,0,0,University or college degree completed,"I work part-time, either as an employee or self-employed",1.96,0,1,0,0,1,0,5,Irregularly,1,0,0,1,1,1,0,0,1,1
5.45E+15,2021/3/30,0,0,0,5,Some university or college,I am a student,1.96,1,1,0,0,0,1,5,Irregularly,1,0,1,1,1,0,0,0,0,0
5.16E+15,2021/3/13,0,0,0,0,University or college degree completed,"I work full-time, either as an employee or self-employed",1.96,0,0,0,0,0,0,5,Irregularly,1,0,0,0,1,0,0,0,0,1
5.48E+15,2021/3/19,0,1,0,0,Secondary school/ high school completed,I am unemployed,1.96,0,1,0,0,0,1,5,Irregularly,1,1,0,0,1,1,1,1,0,0
6.15E+15,2021/3/14,1,2,1,0,Some secondary school / high school,"I work full-time, either as an employee or self-employed",1.96,0,1,0,0,0,1,5,Irregularly,1,0,1,1,1,1,0,1,0,0
5.50E+15,2021/3/15,0,0,0,5,Some university or college,I am a student and I work part-time,1.96,0,1,1,1,0,1,5,Irregularly,0,0,0,0,0,0,0,1,1,0
4.99E+15,2021/3/22,0,0,2,1,Technical school diploma or degree completed,"I do housework, fulfilling domestic tasks, looking after children",1.96,0,0,0,0,0,1,5,Irregularly,0,0,0,0,1,0,0,0,0,0
6.26E+15,2021/3/25,1,1,2,5,Some university or college,I am unemployed,1.96,0,1,1,0,1,0,5,Irregularly,1,0,0,1,1,0,0,1,0,1
6.23E+15,2021/3/20,1,0,0,4,University or college degree completed,"I work full-time, either as an employee or self-employed",1.09,0,1,1,0,0,1,5,Irregularly,0,0,0,1,1,1,0,0,0,1
4.52E+15,2021/3/13,1,1,1,5,University or college degree completed,"I work part-time, either as an employee or self-employed",1.09,1,1,1,1,0,0,5,Irregularly,1,0,1,0,0,0,0,0,0,1
6.25E+15,2021/4/3,0,2,2,4,University or college degree completed,"I work part-time, either as an employee or self-employed",1.09,1,1,1,1,1,1,5,Irregularly,1,0,1,0,0,1,1,1,1,0
5.21E+15,2021/3/13,1,4,0,5,Secondary school/ high school completed,I am a student,1.09,1,1,0,0,0,1,5,Irregularly,1,1,1,0,1,1,0,1,1,0
5.78E+15,2021/3/13,0,3,0,2,Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",1.09,1,1,1,1,0,1,5,Irregularly,1,0,1,0,0,1,1,1,1,0
5.75E+15,2021/3/13,1,2,1,5,University or college degree completed,None of the above,1.09,0,0,0,0,0,1,5,Irregularly,1,1,1,0,0,0,1,1,0,1
5.67E+15,2021/3/13,1,2,2,0,Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",1.09,0,1,0,0,0,1,5,Irregularly,0,0,1,1,1,1,0,0,0,0
4.86E+15,2021/3/14,1,1,2,5,Secondary school/ high school completed,"I work full-time, either as an employee or self-employed",1.09,1,0,0,0,0,1,5,Irregularly,1,0,1,1,1,0,0,0,0,1
5.07E+15,2021/4/2,0,1,2,0,University or college degree completed,"I work full-time, either as an employee or self-employed",1.09,1,1,1,0,0,0,2,Irregularly,1,0,1,1,0,0,1,1,1,1
5.83E+15,2021/3/13,0,3,2,5,Secondary school/ high school completed,I am retired,1.09,0,0,0,0,0,1,5,Irregularly,0,0,0,1,1,1,0,0,0,0
5.15E+15,2021/3/20,1,0,2,5,Some secondary school / high school,I am a student,1.09,0,1,0,1,1,0,2,Irregularly,0,0,1,1,1,0,0,0,1,0
4.86E+15,2021/3/25,0,2,0,1,Some university or college,I am unemployed,1.09,0,0,0,0,0,0,5,Irregularly,1,1,1,1,0,1,0,0,0,0
4.98E+15,2021/3/24,0,1,1,5,Secondary school/ high school completed,I am a student,1.09,1,0,0,0,0,0,5,Irregularly,1,1,1,1,1,1,0,0,0,0
6.53E+15,2021/3/29,0,0,2,0,Some university or college,I am a student and I work part-time,1.09,0,0,0,0,0,1,5,Irregularly,1,1,1,0,0,1,1,1,1,1
5.40E+15,2021/3/13,0,3,0,5,University or college degree completed,"I work part-time, either as an employee or self-employed",1.09,0,0,0,0,0,1,5,Irregularly,1,0,1,0,1,1,0,1,0,0
4.98E+15,2021/3/24,1,0,2,1,Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",1.09,0,1,0,0,0,0,5,Irregularly,1,0,0,1,1,1,0,1,0,0
5.95E+15,2021/3/31,0,0,1,5,Secondary school/ high school completed,I am unemployed,1.09,1,0,0,0,1,1,5,Irregularly,0,1,1,1,1,1,0,1,1,1
6.52E+15,2021/3/15,1,2,2,0,University or college degree completed,"I work full-time, either as an employee or self-employed",1.09,0,0,0,0,0,1,1,Irregularly,1,0,1,1,1,1,0,0,0,1
4.71E+15,2021/3/26,1,0,0,0,Some secondary school / high school,I am a student and I work part-time,2.61,0,1,1,0,0,1,5,Irregularly,1,0,1,0,1,1,1,1,1,1
6.12E+15,2021/3/14,0,3,0,1,University or college degree completed,"I work part-time, either as an employee or self-employed",2.61,0,1,0,0,0,1,5,Irregularly,1,0,1,1,1,1,0,0,0,0
4.76E+15,2021/9/27,1,0,2,3,Some secondary school / high school,I am unemployed,2.61,0,0,0,0,0,0,4,Irregularly,1,0,1,1,1,0,0,1,1,0
6.20E+15,2021/3/31,1,0,1,5,Secondary school/ high school completed,I am a student,2.61,1,0,0,0,0,1,5,Irregularly,1,1,1,1,1,1,1,1,0,1
4.83E+15,2021/3/13,1,0,1,1,Secondary school/ high school completed,I am a student,2.61,0,1,0,0,0,0,5,Irregularly,1,1,1,0,0,1,1,0,0,1
5.24E+15,2021/3/13,1,2,2,2,Secondary school/ high school completed,"I work full-time, either as an employee or self-employed",2.61,1,1,1,0,0,1,4,Irregularly,1,0,1,1,1,0,0,1,1,0
5.25E+15,2021/3/26,1,2,0,0,University or college degree completed,"I work full-time, either as an employee or self-employed",2.61,0,0,0,0,0,1,5,Irregularly,1,0,1,1,1,1,0,1,0,1
5.31E+15,2021/3/13,1,1,0,0,Secondary school/ high school completed,"I work full-time, either as an employee or self-employed",2.61,0,1,0,0,1,1,5,Irregularly,1,0,1,0,0,1,0,1,0,0
6.26E+15,2021/3/24,0,2,2,1,Some university or college,I am unemployed,2.61,1,1,0,0,0,1,5,Irregularly,1,0,1,1,1,0,0,0,0,0
5.91E+15,2021/3/27,0,2,0,5,Secondary school/ high school completed,None of the above,2.61,1,1,1,1,0,1,5,Irregularly,1,1,1,0,0,1,1,1,1,1
5.18E+15,2021/3/15,0,0,2,1,Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",2.61,1,1,1,1,0,1,5,Irregularly,1,0,1,0,1,1,1,0,0,0
4.70E+15,2021/3/13,1,1,2,0,Secondary school/ high school completed,I am unemployed,2.61,0,1,1,0,0,1,5,Irregularly,1,0,1,0,0,1,0,0,0,0
6.61E+15,2021/3/15,1,0,1,0,Primary school completed,I am a student,2.61,0,1,0,0,0,0,5,Irregularly,0,0,0,1,1,0,0,0,0,0
6.22E+15,2021/3/13,0,1,1,2,Technical school diploma or degree completed,"I do housework, fulfilling domestic tasks, looking after children",2.61,0,0,0,0,0,0,5,Irregularly,1,0,0,0,0,0,0,0,0,1
4.91E+15,2021/3/28,1,0,1,1,Secondary school/ high school completed,I am unemployed,2.61,0,1,0,1,0,1,5,Irregularly,1,0,1,0,0,1,0,1,1,1
6.47E+15,2021/3/25,0,3,2,3,Post-graduate education,"I work full-time, either as an employee or self-employed",2.61,1,0,1,0,0,1,1,Irregularly,0,1,1,0,1,0,0,1,0,1
6.26E+15,2021/3/13,1,3,0,2,University or college degree completed,"I work part-time, either as an employee or self-employed",2.61,0,0,0,0,1,1,4,Irregularly,1,0,1,1,1,1,0,0,0,1
6.62E+15,2021/3/30,0,1,0,1,Some technical education (e.g polytechnic school),"I do housework, fulfilling domestic tasks, looking after children",2.61,0,0,1,0,0,1,5,Irregularly,1,1,1,1,1,1,0,1,0,1
5.36E+15,2021/3/13,0,0,0,5,Secondary school/ high school completed,I am unemployed,2.61,0,1,0,1,0,1,5,Irregularly,1,0,0,1,1,1,0,0,0,0
5.63E+15,2021/3/18,1,0,1,1,Some technical education (e.g polytechnic school),I am a student and I work part-time,2.61,0,0,0,0,0,1,5,Irregularly,1,0,1,0,1,1,1,1,1,1
5.86E+15,2021/3/13,1,1,2,0,Secondary school/ high school completed,None of the above,2.61,0,1,1,1,0,1,5,Irregularly,0,0,0,0,1,0,0,0,0,0
5.03E+15,2021/3/13,0,0,2,1,Post-graduate education,"I work full-time, either as an employee or self-employed",2.61,0,1,1,0,0,1,5,Irregularly,1,0,1,0,1,1,0,0,0,1
6.63E+15,2021/3/30,0,0,0,5,Technical school diploma or degree completed,I am a student,2.61,0,1,0,0,0,1,5,Irregularly,1,1,1,0,0,1,1,1,0,0
5.08E+15,2021/3/17,1,0,1,1,University or college degree completed,"I work full-time, either as an employee or self-employed",2.61,1,0,1,0,1,1,0,Irregularly,0,1,1,1,0,1,0,1,0,1
5.77E+15,2021/3/13,0,0,1,0,Secondary school/ high school completed,"I work full-time, either as an employee or self-employed",1.3,0,1,1,0,0,1,5,Irregularly,1,1,1,0,0,1,0,1,0,0
6.11E+15,2021/3/18,1,1,0,5,Secondary school/ high school completed,"I do housework, fulfilling domestic tasks, looking after children",3.04,1,1,1,1,0,1,5,Irregularly,1,0,0,0,1,1,0,1,0,0
5.48E+15,2021/3/30,1,3,2,1,Post-graduate education,"I work full-time, either as an employee or self-employed",3.04,1,1,0,0,0,1,5,Irregularly,0,0,1,0,0,0,0,1,0,0
5.04E+15,2021/3/30,1,0,0,1,Secondary school/ high school completed,I am a student and I work part-time,3.04,0,0,0,1,0,1,4,Irregularly,1,0,0,1,1,1,0,0,0,0
6.51E+15,2021/3/17,0,2,2,1,Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",3.04,0,1,0,0,0,1,5,Irregularly,0,1,1,1,1,1,0,1,0,1
5.45E+15,2021/3/16,1,0,2,1,University or college degree completed,"I work full-time, either as an employee or self-employed",3.04,0,0,1,0,0,1,5,Irregularly,1,0,1,0,1,0,0,1,0,0
5.91E+15,2021/3/17,1,1,0,3,Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",3.04,0,1,0,0,0,1,5,Irregularly,0,0,1,0,0,1,1,1,0,1
4.71E+15,2021/3/13,0,0,0,1,Secondary school/ high school completed,"I work full-time, either as an employee or self-employed",3.04,0,1,0,0,0,1,5,Irregularly,1,0,0,1,1,1,1,0,0,0
5.11E+15,2021/4/1,1,0,1,1,Some university or college,I am a student and I work part-time,3.04,0,1,0,0,0,1,5,Irregularly,1,0,1,1,1,1,0,0,0,0
5.38E+15,2021/3/17,0,1,2,5,Some secondary school / high school,"I do housework, fulfilling domestic tasks, looking after children",3.04,0,1,0,0,0,1,5,Irregularly,1,0,1,1,0,1,1,1,1,1
6.53E+15,2021/3/18,0,2,0,4,Some university or college,None of the above,3.04,0,1,0,1,1,1,5,Irregularly,1,0,1,1,1,1,0,0,0,1
4.72E+15,2021/3/13,1,1,0,2,University or college degree completed,"I work full-time, either as an employee or self-employed",3.04,1,1,1,1,1,1,1,Irregularly,0,0,1,1,1,1,1,1,1,1
5.31E+15,2021/9/27,1,1,0,0,Technical school diploma or degree completed,I am a student,3.04,1,1,0,1,0,1,0,Irregularly,0,1,1,1,0,1,0,0,0,0
6.54E+15,2021/9/27,0,2,2,2,University or college degree completed,"I work full-time, either as an employee or self-employed",3.04,0,1,0,0,1,1,5,Irregularly,1,1,1,0,0,1,1,1,0,1
5.52E+15,2021/3/13,0,1,2,5,Some university or college,I am a student and I work part-time,3.04,1,1,1,0,0,1,5,Irregularly,1,0,1,1,1,1,0,1,0,1
5.43E+15,2021/3/14,0,0,1,0,Some university or college,"I work part-time, either as an employee or self-employed",1.3,0,0,0,0,0,1,5,Irregularly,1,1,1,0,0,1,0,1,0,1
6.20E+15,2021/3/13,0,1,1,4,University or college degree completed,"I work full-time, either as an employee or self-employed",1.3,1,1,1,1,1,1,4,Irregularly,1,1,1,1,1,1,1,1,1,1
5.92E+15,2021/3/18,0,0,2,5,Some technical education (e.g polytechnic school),"I work part-time, either as an employee or self-employed",4.35,0,1,0,0,0,1,5,Irregularly,1,1,1,0,0,1,1,1,1,1
6.46E+15,2021/3/13,1,3,1,1,Primary school completed,I am unemployed,4.13,1,1,0,0,1,1,5,Irregularly,1,0,1,0,1,1,0,1,0,1
4.62E+15,2021/3/13,0,0,1,5,Secondary school/ high school completed,"I do housework, fulfilling domestic tasks, looking after children",4.13,0,0,0,0,0,0,5,Irregularly,0,0,0,1,1,1,1,1,0,0
5.16E+15,2021/3/13,1,2,0,0,University or college degree completed,"I work full-time, either as an employee or self-employed",3.04,1,1,0,0,0,0,5,Irregularly,0,0,0,1,1,0,0,0,0,0
5.27E+15,2021/3/13,1,3,0,1,Some university or college,"I work full-time, either as an employee or self-employed",3.04,0,0,0,0,1,1,4,Irregularly,1,0,0,1,1,0,0,1,0,0
5.19E+15,2021/3/22,0,2,0,0,University or college degree completed,"I work full-time, either as an employee or self-employed",3.04,1,1,1,1,1,1,1,Irregularly,1,1,1,1,1,1,0,0,0,0
4.51E+15,2021/9/27,1,0,0,4,University or college degree completed,"I work full-time, either as an employee or self-employed",3.04,1,1,0,0,0,1,4,Irregularly,1,0,1,1,0,1,0,0,0,0
6.24E+15,2021/3/13,0,1,0,1,University or college degree completed,I am unemployed,3.04,0,1,0,0,0,0,5,Irregularly,1,0,0,1,1,0,0,0,0,0
4.69E+15,2021/9/27,1,2,0,1,Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",3.04,0,1,0,0,0,1,5,Irregularly,0,0,1,1,1,1,0,1,0,0
5.13E+15,2021/3/14,1,1,0,1,University or college degree completed,"I work part-time, either as an employee or self-employed",3.04,0,1,0,0,0,1,5,Irregularly,0,0,1,1,1,0,0,1,1,0
5.13E+15,2021/6/7,0,2,1,1,Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",3.04,1,1,0,0,0,1,3,Irregularly,1,0,1,1,0,1,1,1,1,1
